@RELATION AuthorRecognition

@ATTRIBUTE ExclamationSentences REAL
@ATTRIBUTE InverseSentences REAL
@ATTRIBUTE NegatifSentences REAL
@ATTRIBUTE Connectives REAL
@ATTRIBUTE Nums REAL
@ATTRIBUTE Pronouns REAL
@ATTRIBUTE QuestionWords REAL
@ATTRIBUTE Abbreviations REAL
@ATTRIBUTE Times REAL
@ATTRIBUTE ColonSize REAL
@ATTRIBUTE CommaSize REAL
@ATTRIBUTE EllipsisPointSize REAL
@ATTRIBUTE HypenSize REAL
@ATTRIBUTE PointSize REAL
@ATTRIBUTE QuotationSize REAL
@ATTRIBUTE SemicolonSize REAL
@ATTRIBUTE ExlamationSize REAL
@ATTRIBUTE ParanthesisSize REAL
@ATTRIBUTE QuestionMarkSize REAL
@ATTRIBUTE CapitalLetterSize REAL
@ATTRIBUTE AverageSentencesLength REAL
@ATTRIBUTE AverageWordCountPerSentences REAL
@ATTRIBUTE AverageWordLength REAL
@ATTRIBUTE Dugasts REAL
@ATTRIBUTE Guiard REAL
@ATTRIBUTE Maas REAL
@ATTRIBUTE Rubet REAL
@ATTRIBUTE Sichel REAL
@ATTRIBUTE TypeTokenRatio REAL
@ATTRIBUTE AUTHOR {Taha-Akyol,Mehmet-Ali-Birand,Leyla-İpekçi,Ekrem-Dumanlı,Rasim-Ozan,Mehmet-Barlas,A-Turan-Alkan,Can-Ataklı,Reha-Muhtar,Rıdvan-Dilmen,Haşmet-Babaoğlu,Meryem-Koray,Nazlı-Ilıcak,Gözde-Bedeloğlu,Nazan-Bekiroğlu,Mehmet-Demirkol,Okay-Karacan,Hüseyin-Gülerce,İclal-Aydın,Ahmet-Çakar}

@DATA
0.0,339.0,358.0,3237.0,46.0,23.0,0.0,0.0,25.0,14.0,291.0,14.0,29.0,395.0,179.0,0.0,0.0,74.0,0.0,20.0,84.0,10.0,6.0,734.0,2005.0,36.0,609.0,54.0,80.0,Leyla-İpekçi
60.0,606.0,227.0,3171.0,26.0,73.0,166.0,0.0,25.0,8.0,325.0,8.0,16.0,466.0,83.0,0.0,33.0,0.0,58.0,13.0,67.0,8.0,6.0,742.0,1932.0,36.0,602.0,93.0,71.0,Leyla-İpekçi
83.0,520.0,270.0,1993.0,33.0,44.0,498.0,332.0,44.0,19.0,253.0,19.0,25.0,285.0,318.0,649.0,25.0,38.0,6.0,20.0,92.0,12.0,6.0,748.0,2009.0,36.0,606.0,93.0,74.0,Leyla-İpekçi
28.0,550.0,246.0,3522.0,45.0,32.0,0.0,153.0,42.0,6.0,269.0,19.0,32.0,440.0,190.0,657.0,13.0,13.0,6.0,18.0,74.0,9.0,6.0,770.0,2136.0,36.0,608.0,98.0,75.0,Leyla-İpekçi
58.0,466.0,349.0,3083.0,44.0,58.0,146.0,73.0,12.0,30.0,215.0,19.0,28.0,240.0,338.0,280.0,16.0,84.0,22.0,14.0,100.0,13.0,6.0,940.0,2723.0,32.0,605.0,123.0,64.0,Leyla-İpekçi
0.0,464.0,339.0,2946.0,32.0,36.0,1039.0,346.0,17.0,60.0,285.0,15.0,15.0,203.0,233.0,0.0,0.0,0.0,187.0,19.0,78.0,10.0,6.0,744.0,2060.0,36.0,610.0,94.0,77.0,Leyla-İpekçi
0.0,655.0,293.0,891.0,33.0,37.0,0.0,178.0,33.0,6.0,333.0,6.0,13.0,379.0,248.0,0.0,0.0,13.0,0.0,18.0,80.0,9.0,6.0,738.0,2047.0,36.0,611.0,103.0,77.0,Leyla-İpekçi
0.0,641.0,461.0,2119.0,55.0,34.0,192.0,0.0,28.0,7.0,470.0,29.0,14.0,301.0,139.0,735.0,0.0,29.0,0.0,13.0,107.0,13.0,6.0,719.0,1966.0,37.0,611.0,100.0,77.0,Leyla-İpekçi
39.0,490.0,294.0,3040.0,50.0,33.0,337.0,168.0,21.0,0.0,327.0,0.0,0.0,457.0,196.0,0.0,18.0,0.0,0.0,11.0,90.0,11.0,6.0,746.0,2017.0,36.0,607.0,81.0,76.0,Leyla-İpekçi
43.0,500.0,304.0,2796.0,36.0,39.0,493.0,328.0,23.0,25.0,325.0,25.0,6.0,256.0,300.0,0.0,12.0,12.0,37.0,15.0,103.0,13.0,6.0,754.0,2076.0,36.0,609.0,95.0,76.0,Leyla-İpekçi
